,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
,71,19839.3369390139,17045.4796537637,19355.5365919394,16998.571483796,19980.4597729136,18691.2580411209,20469.0846312151,11647.5067445161,18201.4271037582,18771.2605374324,18343.5191475386,14037.218009099,20893.5707782435,19650.8925350323,16568.9017274142,17342.1094371807,18053.3976179581,18048.0957365127,18176.032526941,18254.1348227249,19176.1884518216,19406.0688974632,16784.0329213657,17146.8519420576,19018.1780271807,19441.1823585818,16688.4359447687,18941.8574436063,18926.5013886484,18669.2609210328,19573.6155953432,19779.4736393614,20691.9685628329,19109.4000598888,15229.8050963527,18993.4803098692,15864.1386070401,18884.4913210786,17033.5980279034,19343.1499024289,21768.4485274222,18316.770198885,18811.2266616012,18664.8599650632,17585.9246851217,18161.8733853145,16921.7547586731,19724.4703444887,17125.7032386603,18906.873238805,17745.2433818214,19785.4935373789,20135.0600980907,19292.5471333082,17486.0336641084,16954.8937588831,15200.5488799227,17704.6184923985,16937.0342395592,17930.0823793751,17685.4135272253,17245.1514441172,21076.6386461414,19551.8014151093,17468.0034764009,20680.9177616392,17101.0249901456,18680.8651339655,18232.3360119092,16952.2958895951,18502.0709197972,18947.9796533272,18733.981997285,17841.2215989643,19622.968798349,19509.2463842344,14420.6510137392,15043.2146982224,16619.2823641533,16989.9757261513,16566.0303066204,17689.7676924096,17228.3564966133,17762.4196786778
,71.1,19783.4170617513,16994.8304993461,19344.2483668315,16995.4198997079,19989.0271586233,18691.3161506795,20455.437459071,11645.940608817,18212.8437066689,18768.1773690396,18335.185915783,14021.3098385098,20852.1599594289,19599.1305253501,16530.750966246,17321.6858198077,18016.107296633,18018.6677365587,18166.0602419443,18227.7263798706,19164.2069423772,19395.5303392345,16780.0427307302,17137.1279950823,19042.2235794088,19384.33886189,16654.4186416436,18915.3229767712,18905.2943717152,18637.4347143131,19558.1562151141,19767.4125955065,20690.3235954619,19110.5586822931,15188.9711384195,18948.7454688877,15838.7537904702,18842.6240578444,17002.9614292205,19307.3745850699,21770.2632149821,18298.6726402352,18806.068057872,18664.2232197465,17562.9117705582,18133.4526615632,16886.6781836108,19695.9151542288,17107.6560837208,18876.3192447688,17722.1765461606,19765.1830332385,20144.2482584047,19293.7639611049,17453.0223787687,16951.2273146982,15165.9481270558,17694.0744213537,16923.4248734988,17902.3420513056,17666.6039587126,17231.6246553549,21049.2972794393,19572.698244032,17459.1858304088,20648.6251528357,17094.4763886286,18670.0444924446,18221.5614098398,16927.848606912,18482.360914937,18936.5153907958,18723.3939061917,17829.8439565487,19575.3622267572,19528.6678350343,14399.032959113,15044.8293191473,16596.9781320193,16979.0741408161,16553.6571798418,17673.0455588207,17221.8761921472,17759.5042758173
,71.2,19724.9542898874,16941.6324039,19315.690831623,16985.4021098087,19985.4112148721,18679.1078903451,20420.7152568042,11638.8911849519,18214.3305102662,18749.9061303181,18322.6412996331,13999.5491495475,20799.8593911333,19542.1967771932,16489.269794807,17293.5855153293,17971.6611883899,17981.3144443363,18148.3229482037,18194.0393199017,19138.4914219312,19371.7561157946,16769.5081105418,17122.081970612,19042.4504933273,19323.0855569072,16611.8848752181,18879.3984211786,18872.5644501609,18596.4222685049,19531.7862618196,19745.3635250999,20667.3452555691,19104.5556943118,15146.5858130684,18896.5282444612,15805.3437809845,18795.0263178291,16965.7669145087,19260.9169330981,21744.431846563,18272.9083853187,18797.405949103,18656.2831099147,17528.8744711434,18095.9275578584,16845.278202199,19652.3183300901,17082.4391016899,18835.9622137832,17693.7516927364,19729.8187088204,20140.5192675492,19284.4191763534,17413.9236700894,16937.6363460404,15129.1500821185,17673.4682234184,16900.9206082412,17865.7011742634,17641.4238732063,17212.049488381,21008.8166257062,19581.4049696018,17430.7304181224,20598.6972235398,17074.7196623029,18647.0274609867,18196.6835448554,16897.4377660206,18452.7123186137,18911.726013603,18705.8252789089,17812.2751656663,19525.6127222769,19518.833315309,14369.2449937112,15037.9937917774,16568.7022957696,16960.026981006,16534.8327113793,17648.341425022,17208.7623250104,17749.1983114202
,71.3,19663.9416118077,16886.6737286383,19274.222923924,16968.8865148314,19968.116148725,18656.2494675632,20373.1151669011,11627.2099560371,18205.6630513203,18719.7469677935,18305.4369949133,13973.0860026074,20741.6348075975,19481.7238823902,16444.9204289831,17257.9786540857,17922.624266105,17937.6611805738,18123.25322403,18155.0383078046,19103.4154842866,19336.6030470893,16754.1814602241,17101.6643852505,19024.6805897991,19259.3402729816,16563.4104704488,18835.5847525466,18831.1169118401,18549.4261112091,19496.4408377914,19713.8577035642,20628.9348404574,19090.9796556434,15103.2559322646,18840.7470250496,15765.6553884633,18744.4911875909,16924.1618773225,19208.1813690961,21700.4777771295,18241.6091577141,18782.4966295329,18641.8156209488,17486.6618490553,18051.677347793,16799.6366485826,19599.6460809106,17050.9377923565,18788.8696324968,17659.2622837756,19683.0667586857,20125.7067698472,19266.9793375521,17371.1265542608,16913.1885703872,15090.7580055362,17644.170349625,16870.7370791814,17822.1915539562,17609.6204376949,17186.3066060106,20960.2739009681,19577.8115927722,17390.3466320891,20540.8511056852,17043.5560274665,18613.4662372203,18159.683894371,16860.7537026907,18414.3633495105,18874.5777888559,18681.1780207299,17788.1826165997,19475.524666078,19488.0657662147,14333.3084699757,15022.3757287865,16535.4797610995,16931.7601162796,16510.0475070667,17616.7333771427,17187.1972814259,17731.7709749158
,71.4,19600.7431285665,16830.8222820518,19223.3711728433,16944.819564745,19938.5541975656,18622.391930844,20318.2264005777,11610.9443042619,18186.6784035896,18679.2471004924,18282.9116894543,13943.3798437346,20679.8392343911,19419.5597096542,16398.1990650935,17216.7521851788,17870.3847160037,17889.4120655573,18091.3396585992,18111.5233171542,19058.7455472255,19293.7121011921,16729.3048007061,17075.7471261597,18993.1326276488,19194.0735239124,16510.8229434704,18785.4885862613,18783.9528198809,18496.3632393758,19452.8503553857,19674.1479543139,20579.5011560833,19069.8344432682,15058.6747438058,18783.1173769814,15721.0753175319,18691.3154924632,16878.982450779,19150.3312467129,21644.4956028283,18203.5521379301,18763.1199200885,18618.8020049171,17439.6426731512,18002.8520501931,16750.6806715623,19542.2176482376,17013.9239715489,18736.8385071714,17620.7156265226,19629.1868734878,20100.3109659736,19239.2338932247,17326.1171842521,16880.5497283628,15050.8088259024,17607.6821233666,16833.7581276729,17773.3689063946,17571.9044892476,17154.7439340179,20905.1852875797,19561.1748578999,17345.1158394535,20479.4327419889,17003.7627033547,18571.6894522844,18113.6395049761,16818.9972679513,18369.1277279754,18828.3499311763,18649.1630327514,17756.3673127226,19425.7176579569,19445.4870835107,14293.7900169653,14999.0704405957,16497.5581469592,16896.3848686905,16479.1343136342,17578.7555143981,17157.8620186063,17705.6101613299
,71.5,19536.8682888134,16775.3212132071,19167.064658188,16915.0595823163,19898.6413379009,18581.1647450285,20260.253910825,11590.9345038171,18158.2520967649,18632.4695629014,18255.602246342,13911.5890756726,20617.4984499162,19356.4142658394,16350.3825025647,17172.2879965897,17816.1109294945,17838.3129287649,18053.7263857439,18065.3114493713,19007.7883618038,19244.8959557882,16699.6668058273,17045.2842970248,18951.5527226391,19128.1211358038,16456.0586293887,18731.1827754488,18733.0854670749,18439.5838611209,19403.7185142366,19628.5557788281,20522.1515993591,19041.7093257669,15013.654940841,18723.8493703375,15673.9346622541,18637.0853350049,16831.1113013444,19089.9554915547,21582.7039649547,18160.5124410628,18738.7236266384,18588.1054481291,17389.5436464621,17951.3603389609,16699.7653016886,19482.9453128704,16972.5282490851,18682.3658833614,17579.1015850107,19571.4866553119,20067.3188661192,19204.99443148,17280.0436424083,16842.0329485059,15009.7982657706,17566.2315077725,16792.1098376119,17721.7679002687,17530.5211566789,17118.1829474897,20846.4142883575,19535.1247141256,17297.4991011931,20417.5989891817,16958.6877140931,18524.814539077,18061.7998220748,16774.5526871876,18319.1263926318,18776.281739405,18611.4798708758,17718.4262210212,19374.9719561915,19396.657198974,14251.5735257421,14969.2879607592,16457.3576556194,16855.4421537167,16443.0378278943,17536.4033970566,17121.8965951819,17672.9417366289
,71.6,19472.4388743756,16719.6916277419,19106.9348673116,16879.6004463804,19850.7435686137,18534.9032275755,20200.9649180949,11567.6960544302,18121.2937068379,18581.0461531198,18223.0929337024,13877.5792856925,20554.2156529077,19293.280598128,16301.3125754916,17124.5772291347,17760.2393020188,17784.8701247306,18010.7082871662,18015.9366137251,18952.4911673271,19190.8340380953,16661.430399308,17010.2090452774,18903.7745565964,19061.840332034,16399.8096379993,18673.8018449589,18678.802469406,18379.854506551,19348.9453561135,19577.1519324998,20459.1978237208,19005.8567986692,14967.6612025288,18663.1614436934,15624.4551694469,18581.5879322332,16781.4851500495,19027.9159484941,21517.0426076589,18113.0048576765,18708.8168365845,18548.3669129825,17336.4715248021,17897.2216089356,16647.7696456424,19421.984906461,16927.033095554,18625.0803570526,17534.5163615347,19509.6406909091,20027.2084229636,19162.0126064359,17231.5169707421,16797.893868553,14966.803772238,17520.1197923038,16746.0846043261,17666.9460284082,17483.9855523442,17077.4844970785,20785.6218923235,19500.0373233873,17248.2386028938,20354.1418083477,16909.5320381372,18473.7961007272,18004.8954099488,16726.8487323886,18264.2928757051,18718.2975312048,18568.1631553951,17674.7927987932,19322.8294842705,19343.1946559062,14207.3843051947,14934.0242119472,16413.9182645913,16809.6773768061,16402.1919783611,17490.3411447759,17079.7303987401,17634.2730027869
,71.7,19408.0893080323,16664.3785844896,19046.1612628256,16840.1431355344,19797.2030639458,18484.6612010502,20141.3613029361,11542.3752065455,18077.06425808,18527.0378672473,18185.5795033567,13842.1337855006,20489.9227729883,19229.5527016887,16251.0707787506,17074.8555857105,17704.2041887821,17730.4017703364,17963.8974919268,17964.8099944895,18895.7007400918,19133.411999273,16617.389761042,16971.315400126,18852.1114259779,18995.6066820195,16342.6134294042,18614.9867832823,18622.9662888721,18319.6164006297,19291.3456402019,19521.8621928331,20392.9687201978,18963.885878462,14920.5527027097,18602.8211968161,15574.1291026072,18526.09080757,16731.4309469969,18966.0463361073,21449.6130101343,18062.7578238646,18673.5857739554,18503.3483947589,17282.0064238596,17841.5640537267,16594.1433905255,19360.358138996,16878.7228545753,18567.0977810896,17488.137646543,19446.5944865415,19982.2904196608,19112.9167137227,17182.1921416556,16749.7406404082,14922.2260871301,17471.1051623876,16698.0297560647,17611.1509955022,17434.9186908223,17032.6344181354,20723.1108154779,19458.0316793894,17197.653881207,20290.2485540084,16858.0774426457,18420.1528993244,17945.7279229932,16676.4332150804,18207.1396742037,18657.3112951289,18521.0366374613,17627.8736178936,19270.5359111146,19286.6644181415,14161.5799445533,14894.7040003094,16369.0239215298,16759.4413259171,16357.952388093,17442.2068862464,17032.7907177032,17591.1169483026
,71.8,19343.9271661797,16608.8100428152,18984.2648595225,16796.7616017848,19739.9079027159,18430.6545298949,20080.4214500632,11514.610618511,18027.3023307183,18470.3747798597,18143.7325426534,13804.041522892,20424.9935023621,19165.1481573565,16199.865318667,17024.5591333592,17646.8288769398,17674.6647905401,17913.3991734296,17911.9551760382,18836.2203807665,19073.2413319977,16567.6495955096,16928.4348498725,18797.2798938655,18929.9885634067,16284.3980783217,18554.7540748493,18566.1220513807,18257.7139770946,19230.6403883039,19463.5008572263,20323.6872613823,18916.0355524601,14872.6036841638,18541.5269381202,15522.6815354576,18470.2635269275,16679.6872022114,18903.2062335632,21381.2305475576,18009.8208413894,18633.6139190485,18452.3897445249,17226.0025312374,17784.6850255533,16539.7857522635,19298.7290136626,16828.1863717091,18507.5984213869,17441.1705984276,19382.8261066357,19933.7596379095,19057.7607903863,17131.7650324483,16699.4862322267,14876.4625185714,17419.6672570932,16647.7790377549,17554.6354232908,17383.2967096781,16984.9389648138,20658.3462612073,19410.3484076576,17145.9824154467,20224.6873872281,16805.3354842957,18364.5176523402,17885.2730080133,16624.6692132392,18148.1893635219,18595.6364504311,18470.7374152004,17577.4874482837,19216.6975015041,19227.5582178891,14114.4922197131,14852.5731601027,16321.9872175813,16707.1141724279,16310.950957622,17392.3423929284,16983.6675617385,17543.3540113836
,71.9,19280.3696210617,16552.8515974181,18921.5259936371,16751.2375582237,19680.3075867424,18374.8302834646,20019.3763466996,11485.308903923,17973.1311949524,18411.7673574803,18098.6493935897,13763.5888409825,20360.3201170963,19100.186945302,16147.7147162148,16973.2448543524,17588.6563667126,17618.0062533561,17859.9936636174,17857.9538077234,18777.3899447425,19010.7307109244,16516.7231751795,16882.306965395,18740.781832959,18865.2734842898,16225.9374787408,18494.6600653458,18508.2486786363,18195.8184185303,19167.5112699078,19403.7671428708,20252.8615685664,18863.2799204728,14824.1440132021,18479.8495368877,15470.7025248318,18414.1625310716,16627.0563127554,18839.9193800129,21312.8846209118,17955.3987483789,18589.1840997152,18398.6103067957,17168.9100997157,17727.0770178669,16484.6652165699,19236.5024576171,16776.5144920581,18447.7567362342,17392.6609653044,19318.3740422604,19883.0414576418,19000.0158643583,17080.1246218994,16647.6118904154,14829.7326317762,17366.730653581,16596.1490579286,17497.5429409683,17330.3966353249,16935.5329362093,20593.3687345767,19359.86143206,17093.0760285545,20158.6327798528,16751.8954504654,18306.7258122527,17823.5427677643,16571.9317670858,18087.8139968929,18532.549204169,18418.4213811587,17525.4711214509,19161.6993406307,19166.2198619283,14066.6824057421,14807.9384225108,16274.3286874261,16652.8809942475,16261.7613667945,17341.7545161612,16932.848206731,17492.6090935337
