,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
,81.1,8665.15417703461,8918.64501778457,9770.82475950087,10520.4736224024,11162.1960112528,12761.5912213925,13263.1560529687,13167.7280245041,12910.1796804597,13266.7301092987,14500.7174774416,7053.19304293836,9146.24360684101,9539.52865302495,9980.6136461349,11403.2241643844,11759.6555904074,13029.5536862466,13700.803231563,14034.7730565501,15121.3970878183,15538.1973193931,16464.4721181006,8930.03898131577,11290.0770189846,12503.731492167,12306.356949586,13775.6028295137,12987.7572209796,13824.9553029528,13297.2731440067,12427.2701826128,13056.4473933145,13371.8414905174,15470.9008334844,12664.8504885905,13814.2603292291,12273.4177370131,14368.7656337876,14942.391237074,14433.0276480784,14966.0258891089,13403.5835325629,15006.2913835754,14296.7774799533,12673.2717165875,13941.5363534628,12953.301165308,13954.9275282838,13124.5255164995,16805.6767385962,17525.1917822543,16324.1734068434,16969.4490127952,16813.4219145922,13362.3392525386,14469.3325945683,13420.5571552713,12669.1669171128,15266.0729937872,19050.9924554141,17374.1880406636,17064.9780160559,17391.799952734,18347.7569544773
,81.2,8058.58435136436,8384.85278472498,9241.67702706923,10066.0083052168,10733.1195559282,12319.8589281947,12858.9628104671,12783.223141638,12534.7301280298,12905.3881917679,14125.5540278076,6858.96373788129,8502.68924854295,8946.79644859574,9490.58630746031,10863.0279720217,11311.4048441645,12578.1002973052,13272.9593440415,13611.5867283677,14664.7331351069,15095.4445740479,16025.7209777298,8275.47727185726,10816.9954556484,12047.9196999983,11864.9373444649,13289.0571242962,12524.1929521474,13280.9275670483,12733.1757117546,11838.54207356,12474.4317136061,12875.4911509618,15092.6860001459,12299.7785965617,13412.0482093999,11890.0636349869,13898.9105790914,14469.8693024326,13953.8192805563,14452.8973726331,12879.4584416847,14462.2243046189,13818.6454304762,12269.1241048175,13528.4664472535,12556.9557118656,13514.6897477949,12636.1617156626,16326.7755793643,17016.0888616714,15791.5812108695,16461.2381302329,16339.0245314557,12964.5485088959,14047.6113991933,13002.6704023513,12229.5024950305,14794.8012607921,18464.6055137547,16900.7522039225,16572.6569896526,16873.1256729359,17824.6462814659
,81.3,7494.31430980588,7886.41986851039,8736.42702780323,9619.99494214157,10303.5331492855,11863.6371563306,12424.0988837655,12363.1286604593,12121.8652094392,12499.8512907164,13702.0794079118,6658.83554908557,7907.20236036807,8390.96673302685,9019.28986208326,10333.011463544,10856.6509432322,12107.0605377452,12809.2281550352,13146.7327951527,14158.1733110712,14599.4527749244,15531.1233851324,7673.28450251495,10331.6898328008,11571.8075177695,11401.2227037379,12768.9927947265,12030.1922216944,12711.4998661647,12147.8959444289,11237.0436264358,11874.0137941648,12350.2324219054,14666.6993997428,11899.0401816042,12963.361286097,11471.1512137158,13380.2113581821,13939.4737130593,13428.3880714452,13890.450481276,12323.1998409784,13864.6118638607,13295.4198560228,11836.8570251554,13068.7309690126,12121.1515020331,13027.2182175974,12116.39878107,15784.9043508313,16441.6508436872,15209.5258277725,15889.7940435418,15804.5653614821,12522.5432159462,13571.1901164075,12539.8838738623,11752.8139559052,14264.491780503,17806.7292171774,16367.0669010608,16019.2511902102,16291.0116066298,17234.5017068956
,81.4,6981.04555330237,7427.63527537989,8259.07172106403,9182.46633273531,9873.7465280372,11392.6650482176,11958.6131987234,11909.6049284207,11673.0580367574,12053.0015138211,13232.6838401055,6450.42579555171,7369.35960250575,7877.76731085018,8567.6680343723,9814.66047611948,10396.3260980853,11617.5110089936,12311.4706060984,12642.3900624671,13605.8123764454,14054.3023842605,14983.2416890425,7137.6149561707,9840.07670681504,11074.4072808357,10913.6498972601,12215.3502443487,11508.2646420497,12120.7082450739,11548.8124667552,10632.3618926379,11262.2025213709,11798.9253361061,14194.0481594271,11459.0403217541,12465.8195263183,11014.9910034179,12811.830907892,13354.6415130237,12860.4506772352,13282.5930956123,11738.1057521584,13219.3489095403,12728.3966122801,11375.4092569852,12561.7020816327,11645.2799153934,12494.278343402,11568.1798534759,15185.93296523,15809.2898921092,14582.1991451364,15261.1639979566,15211.46671645,12035.3628188807,13041.9863796108,12032.2418337456,11239.4264678902,13679.3648076317,17087.0372751648,15780.2990750524,15411.2085546265,15649.2417877784,16578.9432700349
,81.5,6526.82083094718,7010.90372475428,7810.69560259411,8751.41224143719,9439.88179953193,10902.6222458583,11460.6040375246,11421.039911794,11188.3622169691,11564.9039855369,12716.6648814409,6231.91274965952,6897.50013990336,7410.20103046763,8135.31262953951,9306.13251091143,9926.88187927062,11106.0299427377,11779.1638635363,12099.6707531974,13008.1571059787,13460.6531838829,14382.7553129295,6670.11325480957,9344.79953579136,10555.5425670466,10403.2021257741,11629.6665450638,10958.7597796282,11508.7206838096,10937.082125765,10025.0829324686,10639.3442601891,11220.7168626353,13671.3404593376,10981.0821670234,11922.8608741044,10523.6595454247,12197.8767965657,12719.9407466309,12251.6536123527,12631.9791531437,11125.278539474,12529.9584069945,12118.6763159946,10886.090640912,12011.8764055748,11132.4788297012,11919.91529896,10992.6114099426,14533.6065578587,15122.8153338617,13910.56021823,14578.4861673787,14561.5586913279,11508.1330501529,12466.574641176,11484.122046435,10691.5916206496,13042.9329114167,16311.7516048052,15144.5433909587,14750.8684784708,14950.5141571117,15858.9727028851
,81.6,6138.72779184882,6639.28262340047,7393.39003084849,8326.94324907804,9001.47345345622,10394.6124625257,10931.7721528405,10900.1150105907,10670.4317468868,11038.7730074285,12156.0404605068,6005.40069621673,6497.35879415038,6991.87402948817,7723.33654907224,8808.4556313552,9448.40513910073,10573.6516398099,11215.2719643723,11521.8305390338,12368.8916130993,12820.2115390058,13732.3626195285,6273.47234991677,8848.81510683267,10017.6353111614,9872.51507677245,11015.3822830446,10384.9809366834,10879.0319966249,10315.4669446102,9420.09545485014,10008.6807833529,10619.5629423122,13100.7591156668,10468.4999544792,11340.4499323924,10002.1555706812,11545.2334070993,12042.2276913792,11608.4470995815,11944.526546587,10490.7021148382,11806.205974836,11473.6819788018,10371.9975650912,11424.6531546898,10587.0978080056,11309.3012267607,10393.1207645591,13833.115677338,14386.6744721126,13199.934342583,13849.1184482402,13861.0430283673,10948.1084777439,11852.8317078369,10902.5205694323,10116.4113355145,12362.332668777,15489.9670688769,14465.3212757176,14045.8262606297,14203.1099397626,15083.3205158114
,81.7,5812.03999300672,6307.00792234116,7002.5910521485,7905.78804081177,8555.74685465455,9865.87765432886,10373.8139194101,10349.810275205,10124.0340484919,10482.0091165355,11558.1904241704,5776.49591940577,6163.51422299474,6618.16600718346,7329.01196859389,8319.0418494442,8959.25914495345,10019.4300530338,10622.2555640291,10911.598903771,11694.7591584509,12141.1377155074,13039.3857358133,5948.6729996283,8351.83689621085,9461.73055519546,9323.36011549679,10374.2787802805,9787.85016649946,10231.4439276334,9685.84823900333,8819.83026001673,9376.09266741842,10002.451968865,12486.4896025985,9926.17872177673,10724.2684660274,9454.9279707375,10859.9439477924,11328.4970163392,10935.9674490174,11226.5133379088,9841.87150651813,11058.1094651914,10801.7156083926,9836.64470903486,10805.1859835943,10014.2206799891,10668.1057958003,9775.77655695277,13090.6353214122,13609.0839959943,12455.8491591965,13079.4571409316,13116.5504845895,10363.226389224,11208.6774787974,10295.0841075046,9521.96364371261,11646.5696056743,14632.6061278596,13751.7774831538,13304.5532698457,13413.3165126114,14257.3084927357
,81.8,5545.90137720357,6014.18087038231,6645.40247507632,7497.32859650457,8114.16169077446,9332.22070534407,9803.62225876934,9787.20628089996,9563.53803280186,9907.62812184217,10933.9905953475,5553.83016440483,5893.57481555945,6291.97524950973,6959.66188577144,7849.31541251856,8473.37116933387,9460.81048168396,10019.5979875703,10288.5002658457,11004.2077150784,11439.1259017537,12317.60612779,5688.99425581002,7863.80124706517,8900.33336810423,8768.86717548661,9724.48764056894,9185.35408541085,9584.26885959865,9067.08965478127,8242.36836221951,8757.87492085722,9383.73680308879,11838.1066368494,9367.05662107691,10090.3443666531,8898.87772702012,10162.5007407116,10601.2813346923,10255.4508270439,10501.6300677751,9199.13541734047,10307.7869410282,10119.9998629251,9289.86542739888,10166.8938936758,9427.0089078429,10012.9293613786,9156.25005378508,12327.5884176498,12812.0138645167,11699.3039087464,12289.3625236123,12343.7230050643,9765.60478328748,10547.5182452913,9676.97746906064,8924.83864478537,10914.4894815899,13762.2001113769,13023.1626789232,12546.228437899,12600.0356623483,13398.0235306247
,81.9,5334.89708976783,5761.00563689971,6321.9424521508,7105.15781270827,7680.00744051599,8797.96950547602,9226.39633610546,9216.65060194341,8993.87277190067,9320.6640407769,10287.9993619349,5343.11713292253,5680.62399008394,6011.68940382578,6618.0765508196,7403.06032437364,7994.80599478836,8901.69667607775,9412.54618949373,9657.85206743092,10302.969152063,10719.9366030205,11573.3688275407,5483.4985729608,7391.68866318492,8342.2459553321,8218.15277954935,9075.53138034568,8584.67428792432,8943.57555302341,8462.9887822096,7690.45368863678,8158.95877587586,8770.15432122449,11160.7213571651,8802.63401184164,9451.37997192395,8344.59195073404,9465.63214999118,9870.95944354911,9574.83763499337,9778.22720642662,8570.64494796824,9565.2385055544,9439.41751283702,8742.60824868676,9522.68816960373,8836.38609542683,9353.71823526865,8542.62454139214,11550.2062216104,12002.1775599793,10938.9843150693,11488.5359617272,11553.9991312538,9169.51089175879,9882.60750868389,9060.53562420395,8336.47671428129,10175.292666382,12886.6727382251,12286.2163203263,11778.8224054247,11774.8365726297,12519.5403321042
,82,5171.16324060828,5546.16698368676,6033.05838259042,6732.97708256533,7258.94801743484,8270.92276281805,8651.38029758221,8648.87665530058,8426.36292434667,8732.10949223713,9631.74325100166,5150.87579033515,5516.05981379251,5775.55783441389,6307.00067832848,6985.19520113505,7529.93501941585,8351.87279906515,8811.96397074328,9031.15996965544,9604.46008962883,9997.23649471453,10819.1669756999,5325.38267030491,6938.54117007094,7793.25784281999,7677.42741406797,8435.25969410429,7993.42563154627,8318.64821057384,7882.23594987404,7172.84162155014,7590.19879483982,8173.69264100024,10465.1983778579,8238.21858748583,8812.86981419678,7799.09676925941,8778.25072560213,9148.19140235398,8905.66711145158,9068.73355458559,7968.93812237372,8845.4687612464,8773.3203649495,8198.62118831242,8876.27547687185,8246.40942019831,8697.03890727092,7943.77779110194,10768.9261062903,11191.3858181191,10187.2142292021,10689.4759392675,10759.1364272268,8579.62159248946,9217.67422033129,8451.97576042745,7765.26193946375,9439.10922510034,12017.85188038,11552.6865134393,11015.4395043186,10950.5224427661,11634.0404297164
,82.1,5045.70808012285,5368.00956224936,5781.20293440451,6389.47665296503,6861.7343949781,7764.76309373689,8094.90614129191,8099.17146382477,7875.54751917745,8157.11516824445,8980.90055490612,4982.24430774989,5390.1871993959,5581.01670882077,6031.50024988966,6604.31057452352,7090.88531110951,7825.94288598315,8234.34837428749,8425.36644500723,8927.58683341405,9290.74658876289,10072.8985412296,5205.90259312352,6513.73458297377,7266.6340791034,7160.37938630126,7820.10192037375,7426.61240404103,7724.40968448939,7339.15930703997,6700.48168984503,7064.95948344393,7608.99026537448,9766.21250712991,7688.6527016269,8190.5129647628,7276.88829394266,8117.76885427008,8451.66639595065,8264.93518184279,8391.64631967544,7409.00891459091,8165.96109903877,8137.84121657798,7670.32918106356,8242.79990556245,7671.6072216869,8058.92521018087,7373.711570232,10001.7968784068,10399.5158822643,9461.73086451739,9911.6475037426,9978.38731705007,8009.16711429867,8566.95651119209,7865.24565440092,7224.30713084393,8722.02725512957,11172.7037583033,10838.9671037867,10272.7653935277,10145.1188317195,10761.7114417355
,82.2,4953.25374773386,5226.90522495984,5570.20211717628,6083.37396311423,6499.14475512049,7295.05108545353,7572.46972997629,7583.44320083193,7357.27203947114,7610.67294693709,8352.15602571174,4840.48199025427,5297.23967718978,5427.69941201477,5796.49172783505,6269.2335289115,6689.66771580473,7339.16079968008,7695.76935486353,7857.55623026869,8290.69602417308,8618.96637082117,9354.5505474904,5117.19189313516,6128.04311857966,6776.73890329824,6680.53715639406,7246.89758719405,6899.64062912093,7177.03128570801,6847.06789355955,6283.81821234769,6594.90229988662,7089.70332257729,9082.16039906247,7168.65244759315,7600.94562594332,6792.91687498282,7502.53691956631,7799.76783033972,7669.92521938816,7765.15816682201,6903.95624643471,7543.94488411083,7549.5153040922,7171.55343092448,7639.15769039197,7126.58235133561,7456.50548577473,6846.82774511226,9269.02115862315,9646.62039089542,8781.92986042511,9175.94479672525,9230.95891634649,7472.6374001613,7946.89625401135,7315.93970030757,6727.68301492542,8043.4796951995,10372.2311289884,10163.1968942732,9569.54369802951,9380.47445638364,9927.18481093924
,82.3,4883.8026674752,5117.29898016855,5395.7110799543,5815.35773250606,6174.49192458699,6867.05343959444,7090.66890697324,7108.12872969369,6878.98288784344,7101.68305278814,7756.91034823347,4724.60802350741,5227.57383401824,5308.11325720979,5599.42245830385,5979.81727337178,6329.57871706257,6896.72002214474,7203.09197697235,7334.87025716379,7703.44472000935,7993.43645454971,8676.6907802095,5051.64414288719,5784.58364288268,6329.35515749161,6244.0161192442,6721.45396827603,6418.10947321456,6682.7851793127,6409.17005065741,5922.92858586703,6182.70641729042,6622.51082020552,8426.60883301791,6687.60792244123,7053.42395778672,6352.92855654135,6940.84230450603,7200.44575231708,7127.45328868134,7195.98820465268,6457.92604806141,6986.24402409773,7017.52395856814,6713.05737984857,7077.6903727369,6621.45682138672,6898.95030989628,6369.73623943986,8578.91412051637,8941.42209956132,8155.85988306481,8492.75877709319,8530.94536850216,6982.8083732979,7370.64443337498,6814.51854851525,6282.42293905512,7413.19972169659,9624.54661750527,9533.11291642006,8915.07246603951,8668.40862207894,9145.05147859388
,82.4,4832.84517407665,5034.30233973722,5256.18079694807,5587.81987039944,5892.6822909021,6488.64166595306,6660.37588842309,6684.72331582871,6452.21197126613,6642.76254964019,7210.55269303808,4633.35881897557,5176.07856754034,5217.72267650585,5439.48080108851,5737.19896081108,6015.77417483381,6507.65548358438,6766.83405966422,6869.57753886176,7180.05821895576,7429.91084522489,8056.23934471828,5004.13137224489,5486.52804363992,5931.99919222699,5857.56314333751,6253.08836820002,5990.55577561869,6249.09187427983,6031.66622992397,5620.32858126484,5833.27423799141,6215.61389692499,7816.04073158869,6253.01143227389,6557.04082051401,5964.12972165118,6441.46820756753,6665.21882161283,6647.72351515709,6694.2568550695,6076.95793540417,6501.94259846995,6550.4422606462,6299.74375955691,6566.32275048698,6163.80326851132,6396.38833937855,5950.0557015733,7948.37843512854,8300.40603489927,7595.9985302163,7875.80656411905,7892.42600211882,6543.8395266838,6845.24046426232,6367.22844746622,5893.5598188091,6843.87011639884,8945.94806526542,8963.63261267103,8323.47412259975,8022.78989899411,8429.76507814239
,82.5,4795.8342397648,4973.43851695632,5149.10184511564,5402.84896257787,5658.3591371707,6168.03483429723,6291.21897729643,6321.7022843108,6084.97711839361,6243.98036538374,6727.02458309194,4564.36598253445,5138.32178748086,5151.6431270731,5315.22260787905,5542.47333287242,5753.7429558708,6178.81587187242,6395.1552906772,6470.59281792993,6730.37056446897,6939.73535002975,7507.71961688152,4969.89214582866,5239.12788299661,5594.60288642576,5530.71260985286,5853.55353573488,5626.7700964737,5883.86189042622,5718.57863367901,5375.65457054563,5547.3167612156,5874.11888853424,7266.48468241561,5878.68480669753,6127.51589714213,5636.54376436802,6017.19037143927,6206.88230484317,6240.50563150893,6270.17721941256,5763.68988294009,6097.2518817735,6155.62439177398,5944.77065765058,6122.33350751369,5768.86174242874,5963.74478490491,5597.03248408743,7395.31909604815,7740.60254431957,7115.49150132167,7340.43956007674,7331.46186220429,6169.17454190993,6388.36426658502,5986.5928312967,5569.24799865158,6351.80437864547,8354.67121093158,8468.58176892127,7809.29977910119,7460.08738981766,7801.78042368588
